car_brand,car_tier,car_segment,damage_location,car_age,damage_type,damage_ratio,internal_damage_flag,car_model_val,repair_cost
Toyota,Mid,SUV,side,4,dent,0.101,0,11.68,10300
Toyota,Mid,Hatchback,side,13,scratch,0.113,0,1.61,2400
Tata,Economy,Sedan,rear,9,scratch,0.168,0,3.2,2100
Mercedes,Luxury,SUV,rear,16,dent,0.083,0,9.92,11900
Volkswagen,Mid,SUV,rear,4,scratch,0.168,0,12.52,4600
Maruti Suzuki,Economy,Sedan,front,7,scratch,0.117,0,3.99,2300
Maruti Suzuki,Economy,Sedan,front,3,scratch,0.01,0,6.72,1200
Hyundai,Economy,Hatchback,front,4,damaged_tire,0.038,0,3.95,3600
MG,Mid,Sedan,side,4,lamp_broken,0.148,0,8.76,14500
Volkswagen,Mid,Hatchback,front,1,dent,0.166,0,7.4,12400
Skoda,Mid,SUV,front,5,dent,0.131,0,9.69,13600
Volkswagen,Mid,Sedan,front,9,glass_damage,0.1,0,4.61,12900
Tata,Economy,Sedan,side,3,glass_damage,0.152,0,6.15,6900
BMW,Luxury,SUV,side,3,scratch,0.06,0,40.46,8800
Hyundai,Economy,Hatchback,front,3,glass_damage,0.172,0,4.54,7500
Tata,Economy,Sedan,rear,5,damaged_tire,0.036,0,5.45,3200
Hyundai,Economy,Hatchback,front,3,dent,0.145,0,3.95,6000
Renault,Economy,Sedan,rear,4,dent,0.166,0,5.77,5500
Volkswagen,Mid,SUV,side,5,glass_damage,0.122,0,11.06,16900
MG,Mid,Sedan,rear,7,dent,0.087,0,6.11,6900
Hyundai,Economy,Hatchback,rear,20,scratch,0.081,0,1.5,1000
Maruti Suzuki,Economy,Hatchback,rear,4,dent,0.109,0,3.99,3500
Maruti Suzuki,Economy,Hatchback,side,3,dent,0.097,0,4.26,3700
Kia,Mid,Sedan,front,5,glass_damage,0.036,0,7.49,12300
Renault,Economy,Hatchback,front,2,damaged_tire,0.117,0,5.0,4600
Volkswagen,Mid,SUV,rear,2,scratch,0.123,0,14.58,4400
Volvo,Luxury,SUV,rear,4,dent,0.109,0,37.6,23200
Hyundai,Economy,Hatchback,side,2,lamp_broken,0.118,0,5.29,5600
Tata,Economy,Sedan,side,8,scratch,0.137,0,3.45,1900
Maruti Suzuki,Economy,SUV,rear,7,scratch,0.133,0,4.45,2200
Nissan,Economy,Hatchback,front,2,scratch,0.139,0,5.0,2600
MG,Mid,Sedan,rear,9,lamp_broken,0.052,0,4.66,7500
Audi,Luxury,Sedan,rear,3,glass_damage,0.073,0,26.4,34300
Hyundai,Economy,Hatchback,front,3,dent,0.117,0,4.22,4800
Renault,Economy,Hatchback,rear,4,lamp_broken,0.162,0,3.8,5900
Jaguar,Luxury,SUV,side,5,scratch,0.151,0,34.13,12900
Tata,Economy,Hatchback,rear,6,dent,0.073,0,3.33,2500
Nissan,Economy,SUV,front,1,scratch,0.01,0,10.2,1700
Toyota,Mid,SUV,side,5,lamp_broken,0.066,0,9.97,12800
Kia,Mid,Sedan,rear,8,damaged_tire,0.181,0,5.11,6500
Skoda,Mid,SUV,front,3,dent,0.078,0,11.57,10600
Toyota,Mid,SUV,rear,5,damaged_tire,0.091,0,8.89,7100
Honda,Mid,Sedan,side,3,dent,0.021,0,10.12,4600
Toyota,Mid,Sedan,side,3,scratch,0.04,0,9.56,2100
Renault,Economy,Hatchback,front,5,scratch,0.01,0,3.61,1100
Honda,Mid,SUV,side,9,scratch,0.295,0,6.41,5800
Tata,Economy,Hatchback,front,5,damaged_tire,0.064,0,3.43,4300
Toyota,Mid,SUV,rear,7,scratch,0.146,0,7.75,3800
Nissan,Economy,Hatchback,side,2,scratch,0.091,0,5.08,1800
Maruti Suzuki,Economy,Sedan,rear,9,scratch,0.175,0,3.33,1900
Hyundai,Economy,Hatchback,front,6,dent,0.086,0,3.09,3400
BMW,Luxury,SUV,front,5,dent,0.064,0,33.04,23900
Kia,Mid,SUV,front,3,scratch,0.128,0,12.39,5500
MG,Mid,SUV,front,6,glass_damage,0.143,0,8.62,17400
Tata,Economy,Hatchback,rear,4,glass_damage,0.079,0,3.91,5900
Renault,Economy,Sedan,front,2,glass_damage,0.205,0,6.3,10000
Hyundai,Economy,SUV,side,4,scratch,0.081,0,6.93,1900
BMW,Luxury,SUV,rear,3,dent,0.177,0,38.34,28600
Tata,Economy,Sedan,rear,4,dent,0.092,0,5.61,3800
Nissan,Economy,Hatchback,front,8,dent,0.238,0,2.39,6600
Skoda,Mid,SUV,side,5,scratch,0.16,0,9.82,4700
Mercedes,Luxury,Sedan,front,1,lamp_broken,0.046,0,30.66,31800
BMW,Luxury,Sedan,front,2,scratch,0.108,0,31.88,15100
BMW,Luxury,SUV,front,3,glass_damage,0.108,0,36.11,55200
Nissan,Economy,Hatchback,front,9,scratch,0.19,0,1.9,2600
Renault,Economy,SUV,front,4,dent,0.071,0,7.98,5400
Toyota,Mid,SUV,rear,8,dent,0.033,0,6.82,4700
Maruti Suzuki,Economy,Hatchback,rear,5,scratch,0.039,0,3.57,1300
Jaguar,Luxury,SUV,side,10,scratch,0.038,0,14.08,6200
Renault,Economy,Hatchback,front,1,dent,0.176,1,4.99,16600
Hyundai,Economy,Hatchback,rear,5,lamp_broken,0.066,0,3.51,3700
Nissan,Economy,SUV,rear,8,dent,0.203,0,4.69,6300
Maruti Suzuki,Economy,Sedan,rear,5,glass_damage,0.09,0,5.07,6100
Hyundai,Economy,Hatchback,front,20,scratch,0.116,0,1.5,1600
Renault,Economy,Sedan,side,3,glass_damage,0.112,0,6.28,6400
Tata,Economy,Hatchback,front,3,damaged_tire,0.063,0,4.23,3600
Toyota,Mid,SUV,rear,3,scratch,0.115,0,14.07,3700
Kia,Mid,SUV,front,4,lamp_broken,0.126,0,11.78,23000
Skoda,Mid,SUV,side,11,scratch,0.15,0,3.69,4100
Kia,Mid,Sedan,side,7,scratch,0.23,0,5.89,4400
Skoda,Mid,SUV,rear,4,dent,0.194,1,12.63,32700
Hyundai,Economy,Hatchback,rear,10,lamp_broken,0.109,0,1.57,4400
Skoda,Mid,Hatchback,rear,7,glass_damage,0.039,0,4.08,7800
Hyundai,Economy,Hatchback,front,6,dent,0.208,0,3.42,6000
MG,Mid,Sedan,side,2,dent,0.078,0,10.65,8200
Maruti Suzuki,Economy,Sedan,rear,8,dent,0.122,0,3.44,3800
Tata,Economy,Sedan,front,6,scratch,0.16,0,4.63,2500
Renault,Economy,Hatchback,front,5,lamp_broken,0.211,0,3.67,8800
Renault,Economy,SUV,front,4,damaged_tire,0.12,0,7.18,6000
Renault,Economy,Hatchback,front,9,dent,0.113,0,2.07,3900
Hyundai,Economy,Hatchback,front,8,dent,0.028,0,2.35,2600
Mercedes,Luxury,SUV,front,5,glass_damage,0.039,0,30.25,48200
Renault,Economy,Hatchback,front,9,damaged_tire,0.024,0,2.05,3300
Volvo,Luxury,SUV,front,2,damaged_tire,0.152,0,42.12,31400
Tata,Economy,Hatchback,side,3,damaged_tire,0.106,0,4.22,3700
MG,Mid,SUV,front,2,glass_damage,0.079,0,13.82,16700
Nissan,Economy,Sedan,front,9,dent,0.048,0,2.8,3500
Maruti Suzuki,Economy,Hatchback,front,14,glass_damage,0.23,1,1.5,16900
Hyundai,Economy,Hatchback,rear,5,scratch,0.163,0,3.82,2000
Renault,Economy,Sedan,rear,3,glass_damage,0.147,0,6.98,6300
Nissan,Economy,Hatchback,side,4,lamp_broken,0.137,0,3.79,5700
Hyundai,Economy,Sedan,front,10,scratch,0.095,0,2.29,2100
Maruti Suzuki,Economy,Sedan,front,2,scratch,0.122,0,7.46,2700
MG,Mid,SUV,front,5,dent,0.086,0,10.05,11400
Renault,Economy,Sedan,front,11,dent,0.1,0,1.84,4200
Honda,Mid,Sedan,rear,5,glass_damage,0.128,0,7.62,11300
Maruti Suzuki,Economy,SUV,side,4,scratch,0.153,0,6.75,3000
Renault,Economy,Sedan,front,7,lamp_broken,0.11,0,3.97,5900
Audi,Luxury,Sedan,side,4,dent,0.207,0,27.05,24800
MG,Mid,SUV,rear,6,glass_damage,0.143,0,9.32,13700
Renault,Economy,SUV,rear,2,lamp_broken,0.099,0,8.53,6300
Jaguar,Luxury,SUV,front,5,dent,0.238,0,30.79,40200
Tata,Economy,SUV,side,8,glass_damage,0.061,0,4.77,6300
Tata,Economy,Hatchback,front,4,dent,0.133,0,3.88,4500
Tata,Economy,Sedan,side,2,scratch,0.17,0,7.03,3000
Volvo,Luxury,SUV,side,2,glass_damage,0.037,0,42.68,39800
Audi,Luxury,Sedan,rear,5,lamp_broken,0.188,0,20.31,34100
Maruti Suzuki,Economy,SUV,front,3,scratch,0.148,0,8.24,3300
Skoda,Mid,SUV,rear,3,damaged_tire,0.156,0,12.3,7700
Nissan,Economy,Hatchback,side,15,scratch,0.056,0,1.5,1000
Hyundai,Economy,Hatchback,front,6,glass_damage,0.119,0,3.03,6000
Volvo,Luxury,SUV,front,8,damaged_tire,0.132,0,22.0,22400
MG,Mid,Sedan,rear,3,dent,0.086,0,9.4,7900
Renault,Economy,Sedan,side,1,dent,0.089,0,7.57,4300
Volkswagen,Mid,SUV,front,5,damaged_tire,0.094,0,10.67,8600
Maruti Suzuki,Economy,Sedan,front,9,damaged_tire,0.138,0,2.76,4600
BMW,Luxury,Sedan,front,0,dent,0.085,0,34.19,24700
Tata,Economy,Hatchback,rear,2,dent,0.189,0,4.75,5100
Renault,Economy,Hatchback,front,1,scratch,0.033,0,4.56,1500
Maruti Suzuki,Economy,Sedan,front,9,glass_damage,0.077,0,2.8,6000
Toyota,Mid,SUV,front,8,dent,0.124,0,7.1,12400
Hyundai,Economy,Sedan,front,5,glass_damage,0.122,0,5.27,8200
Kia,Mid,Sedan,rear,4,dent,0.153,0,8.59,9000
Toyota,Mid,Sedan,front,4,scratch,0.091,0,8.42,3400
Toyota,Mid,SUV,front,7,dent,0.238,0,7.03,13800
Maruti Suzuki,Economy,Hatchback,front,5,damaged_tire,0.101,0,3.59,4900
Skoda,Mid,Sedan,side,2,dent,0.138,0,9.46,11400
Renault,Economy,Hatchback,side,2,dent,0.243,0,4.74,6400
Maruti Suzuki,Economy,Hatchback,side,7,scratch,0.016,0,2.96,900
MG,Mid,SUV,rear,6,scratch,0.189,0,10.15,4200
Toyota,Mid,SUV,front,3,glass_damage,0.275,0,13.13,23300
Renault,Economy,Hatchback,rear,3,scratch,0.058,0,4.28,1200
Nissan,Economy,Hatchback,front,8,scratch,0.1,0,2.43,1900
Renault,Economy,Hatchback,front,6,damaged_tire,0.017,0,2.97,2400
Hyundai,Economy,SUV,side,5,scratch,0.327,0,6.4,3900
Toyota,Mid,Hatchback,rear,4,scratch,0.133,0,6.12,3000
Toyota,Mid,Sedan,rear,5,dent,0.052,0,6.65,5700
Kia,Mid,SUV,side,6,dent,0.103,0,9.51,8900
Maruti Suzuki,Economy,Hatchback,rear,8,damaged_tire,0.01,0,2.44,1800
Hyundai,Economy,SUV,side,7,damaged_tire,0.111,0,4.93,4800
Nissan,Economy,Hatchback,rear,8,lamp_broken,0.073,0,2.45,3300
Nissan,Economy,Sedan,rear,10,glass_damage,0.092,0,2.6,5500
Honda,Mid,Sedan,front,8,dent,0.216,0,5.14,11400
Tata,Economy,Hatchback,rear,4,scratch,0.056,0,3.53,1500
MG,Mid,Sedan,rear,6,glass_damage,0.122,0,7.45,10200
Maruti Suzuki,Economy,Hatchback,front,1,damaged_tire,0.049,0,5.17,4300
Tata,Economy,SUV,rear,3,dent,0.099,0,8.42,4800
Hyundai,Economy,Hatchback,side,4,lamp_broken,0.188,0,3.72,6900
Tata,Economy,Hatchback,side,10,scratch,0.082,0,1.78,1500
Skoda,Mid,SUV,front,8,damaged_tire,0.341,0,7.79,13700
Tata,Economy,Hatchback,front,8,scratch,0.129,0,2.36,2000
Honda,Mid,Hatchback,rear,5,glass_damage,0.146,0,5.12,10400
Hyundai,Economy,Hatchback,front,8,glass_damage,0.236,0,2.49,7700
Hyundai,Economy,Hatchback,side,2,dent,0.136,0,4.78,5000
Maruti Suzuki,Economy,Sedan,side,3,glass_damage,0.162,0,6.39,8400
MG,Mid,Sedan,front,5,lamp_broken,0.048,0,8.33,11200
Toyota,Mid,Sedan,front,5,dent,0.159,0,7.54,11700
Nissan,Economy,SUV,front,5,dent,0.127,0,6.2,7000
Volkswagen,Mid,Sedan,side,5,glass_damage,0.114,0,7.77,11600
Tata,Economy,Sedan,front,2,dent,0.092,0,7.89,5500
Maruti Suzuki,Economy,Hatchback,rear,7,glass_damage,0.133,0,2.77,4800
Nissan,Economy,Hatchback,front,9,dent,0.075,0,2.02,3600
Volkswagen,Mid,Hatchback,side,5,dent,0.067,0,4.76,6300
MG,Mid,Sedan,rear,2,damaged_tire,0.253,0,9.63,9500
Skoda,Mid,SUV,front,6,glass_damage,0.134,0,8.74,14800
Hyundai,Economy,Sedan,front,10,scratch,0.054,0,2.36,1600
Hyundai,Economy,Hatchback,rear,2,dent,0.081,0,4.83,3300
Hyundai,Economy,SUV,front,3,damaged_tire,0.124,0,7.75,6300
Hyundai,Economy,Hatchback,front,3,glass_damage,0.278,1,4.49,18100
Nissan,Economy,Sedan,rear,4,dent,0.01,0,6.03,2000
Hyundai,Economy,SUV,front,15,damaged_tire,0.054,0,1.81,4100
Tata,Economy,Hatchback,rear,10,lamp_broken,0.09,0,1.55,3500
Maruti Suzuki,Economy,Sedan,front,6,glass_damage,0.087,0,4.45,6300
Mercedes,Luxury,SUV,side,8,lamp_broken,0.174,0,21.94,43300
Hyundai,Economy,Hatchback,front,4,scratch,0.242,0,3.95,3100
Renault,Economy,Hatchback,front,4,scratch,0.184,0,3.91,2900
Volvo,Luxury,Sedan,front,5,dent,0.1,0,21.04,23800
Hyundai,Economy,SUV,front,0,dent,0.3,0,9.68,11500
Tata,Economy,Sedan,side,8,scratch,0.231,0,3.73,2400
Honda,Mid,SUV,front,3,glass_damage,0.08,0,11.24,16000
Volkswagen,Mid,Sedan,front,12,scratch,0.174,0,2.59,4200
Tata,Economy,SUV,front,2,dent,0.132,0,8.41,6600
MG,Mid,Hatchback,front,0,glass_damage,0.058,0,8.11,11400
Tata,Economy,Hatchback,front,9,scratch,0.279,0,2.04,3100
Tata,Economy,Hatchback,rear,5,glass_damage,0.34,0,3.59,8700
Nissan,Economy,Hatchback,front,2,lamp_broken,0.097,0,4.96,5800
MG,Mid,Sedan,rear,3,scratch,0.107,0,8.8,3100
Nissan,Economy,Hatchback,front,7,damaged_tire,0.058,0,2.74,3800
Jaguar,Luxury,SUV,rear,4,dent,0.13,0,32.9,23000
Nissan,Economy,Sedan,front,4,scratch,0.228,0,5.87,3600
Toyota,Mid,SUV,front,3,glass_damage,0.13,0,12.81,20000
BMW,Luxury,Sedan,front,6,glass_damage,0.011,0,22.95,32100
Volvo,Luxury,SUV,front,2,glass_damage,0.055,0,44.03,49600
Renault,Economy,Hatchback,rear,7,dent,0.25,0,2.77,4400
Honda,Mid,Sedan,rear,0,scratch,0.029,0,12.16,2200
Tata,Economy,SUV,side,7,scratch,0.157,0,5.18,2500
BMW,Luxury,Sedan,rear,6,dent,0.223,0,20.59,25500
Hyundai,Economy,Hatchback,front,4,scratch,0.091,0,4.05,2200
Hyundai,Economy,Hatchback,front,3,dent,0.142,0,4.49,5300
Tata,Economy,Hatchback,front,8,glass_damage,0.209,0,2.42,7200
MG,Mid,Sedan,front,4,damaged_tire,0.042,0,8.64,6600
MG,Mid,Sedan,rear,4,damaged_tire,0.124,0,8.5,6400
Skoda,Mid,Hatchback,rear,4,dent,0.204,0,6.03,9600
Hyundai,Economy,SUV,front,7,scratch,0.116,0,5.16,2600
Maruti Suzuki,Economy,Sedan,side,2,damaged_tire,0.107,0,6.9,4700
Maruti Suzuki,Economy,Hatchback,rear,7,glass_damage,0.088,0,2.72,4100
Mercedes,Luxury,SUV,front,6,dent,0.229,1,30.22,79200
Tata,Economy,Hatchback,front,5,glass_damage,0.038,0,3.56,6200
Tata,Economy,Sedan,front,1,lamp_broken,0.263,0,8.19,11600
Tata,Economy,Sedan,side,8,scratch,0.081,0,3.5,1700
Volkswagen,Mid,Sedan,side,9,scratch,0.054,0,4.39,2300
Maruti Suzuki,Economy,Sedan,front,6,damaged_tire,0.082,0,4.62,4600
Kia,Mid,SUV,front,4,dent,0.109,0,11.89,11500
Toyota,Mid,Sedan,front,7,lamp_broken,0.071,0,5.97,11400
BMW,Luxury,SUV,rear,3,lamp_broken,0.12,0,37.05,35500
Maruti Suzuki,Economy,Hatchback,front,2,scratch,0.27,0,4.78,3600
Maruti Suzuki,Economy,Hatchback,front,7,scratch,0.217,0,2.62,2600
Renault,Economy,Sedan,front,2,damaged_tire,0.096,0,7.22,5200
Renault,Economy,Sedan,rear,2,lamp_broken,0.027,0,6.86,3600
BMW,Luxury,SUV,side,6,glass_damage,0.139,0,32.4,51200
Tata,Economy,SUV,rear,10,lamp_broken,0.101,0,3.11,5300
Maruti Suzuki,Economy,SUV,side,5,scratch,0.264,0,6.59,4200
Maruti Suzuki,Economy,Sedan,front,1,glass_damage,0.097,0,8.08,7300
Toyota,Mid,SUV,front,2,dent,0.028,0,14.74,8000
MG,Mid,SUV,side,7,scratch,0.356,0,8.48,6300
MG,Mid,SUV,front,4,dent,0.186,1,10.04,33400
Maruti Suzuki,Economy,Hatchback,side,9,scratch,0.055,0,2.18,1200
Audi,Luxury,SUV,front,4,dent,0.118,0,36.84,28800
Maruti Suzuki,Economy,SUV,rear,6,lamp_broken,0.11,0,6.02,5500
Maruti Suzuki,Economy,SUV,front,13,dent,0.107,0,2.03,4100
Hyundai,Economy,SUV,front,6,scratch,0.058,0,5.95,2000
Toyota,Mid,Sedan,rear,7,damaged_tire,0.187,0,6.14,6400
Maruti Suzuki,Economy,Hatchback,rear,6,scratch,0.072,0,3.06,1300
Maruti Suzuki,Economy,Sedan,rear,9,glass_damage,0.112,0,2.99,5500
Maruti Suzuki,Economy,Hatchback,side,3,lamp_broken,0.254,0,4.6,6500
Tata,Economy,SUV,front,7,dent,0.025,0,4.93,3300
Jaguar,Luxury,Sedan,front,11,lamp_broken,0.019,0,8.46,15700
Tata,Economy,Hatchback,front,2,glass_damage,0.25,1,4.74,19200
Hyundai,Economy,Sedan,front,10,lamp_broken,0.154,1,2.34,15500
Tata,Economy,Hatchback,side,5,dent,0.085,0,3.37,4100
Hyundai,Economy,Hatchback,rear,13,lamp_broken,0.15,0,1.5,4500
MG,Mid,SUV,front,8,glass_damage,0.273,0,7.31,22300
Tata,Economy,Sedan,front,4,dent,0.088,0,5.29,4900
MG,Mid,SUV,front,2,lamp_broken,0.132,0,13.73,22400
Toyota,Mid,Sedan,rear,2,damaged_tire,0.023,0,9.88,4800
Nissan,Economy,Hatchback,rear,4,scratch,0.14,0,4.06,1900
Tata,Economy,Hatchback,rear,4,lamp_broken,0.065,0,4.11,3600
Nissan,Economy,SUV,side,5,dent,0.093,0,6.28,5000
Nissan,Economy,Sedan,rear,4,glass_damage,0.216,1,5.78,16700
Nissan,Economy,Hatchback,front,2,dent,0.113,0,5.14,4800
Maruti Suzuki,Economy,Hatchback,front,4,lamp_broken,0.073,0,3.88,5300
Nissan,Economy,Sedan,side,3,scratch,0.15,0,6.21,2400
Volkswagen,Mid,Sedan,rear,7,scratch,0.15,0,6.5,3100
Tata,Economy,Hatchback,rear,15,lamp_broken,0.155,0,1.5,4600
Volkswagen,Mid,SUV,side,12,lamp_broken,0.142,0,3.14,14700
Nissan,Economy,Sedan,side,10,dent,0.281,1,2.3,15800
Toyota,Mid,Sedan,front,2,dent,0.118,0,10.25,10600
BMW,Luxury,SUV,front,1,dent,0.06,0,44.12,24300
Tata,Economy,Sedan,rear,8,scratch,0.093,0,3.69,1600
MG,Mid,Sedan,front,4,scratch,0.15,0,8.95,4800
Toyota,Mid,SUV,front,2,dent,0.158,0,14.0,16000
Nissan,Economy,Hatchback,front,3,glass_damage,0.217,1,4.41,17100
Maruti Suzuki,Economy,SUV,rear,4,dent,0.1,0,6.7,4500
Tata,Economy,Sedan,rear,7,lamp_broken,0.212,0,4.18,6400
Kia,Mid,Sedan,side,5,scratch,0.058,0,8.02,2700
Kia,Mid,SUV,front,5,scratch,0.175,0,10.55,6000
Tata,Economy,Sedan,front,1,scratch,0.16,0,6.79,3300
Nissan,Economy,SUV,front,2,glass_damage,0.085,0,8.42,10300
Volkswagen,Mid,SUV,front,14,dent,0.094,0,3.14,8900
Renault,Economy,SUV,front,2,scratch,0.067,0,9.08,2800
Honda,Mid,Sedan,front,3,dent,0.115,0,9.91,11300
Hyundai,Economy,Hatchback,side,6,scratch,0.017,0,2.99,900
Honda,Mid,SUV,rear,5,scratch,0.099,0,10.46,3300
Renault,Economy,Sedan,front,1,glass_damage,0.124,0,7.78,8300
Honda,Mid,Sedan,front,5,dent,0.079,0,8.16,8300
Nissan,Economy,Hatchback,rear,2,dent,0.151,0,4.49,4300
Hyundai,Economy,Hatchback,side,4,glass_damage,0.128,0,4.17,6600
Hyundai,Economy,SUV,rear,6,scratch,0.229,0,6.17,3000
Nissan,Economy,Hatchback,side,2,damaged_tire,0.167,0,4.96,5200
BMW,Luxury,SUV,side,2,scratch,0.114,0,44.41,13200
Maruti Suzuki,Economy,Hatchback,rear,4,glass_damage,0.048,0,3.95,4400
Hyundai,Economy,Sedan,side,1,scratch,0.157,0,7.68,2700
Renault,Economy,SUV,front,3,lamp_broken,0.117,0,7.99,8500
Maruti Suzuki,Economy,Hatchback,front,11,damaged_tire,0.214,0,1.5,4000
Kia,Mid,SUV,front,3,dent,0.127,0,12.61,12200
Audi,Luxury,Sedan,rear,6,scratch,0.228,0,19.01,12300
Kia,Mid,SUV,front,8,scratch,0.05,0,7.09,3500
Nissan,Economy,Sedan,side,11,scratch,0.127,0,1.73,1500
Audi,Luxury,SUV,front,4,dent,0.168,0,38.72,35700
Renault,Economy,Hatchback,front,5,dent,0.143,0,3.6,5700
Volkswagen,Mid,SUV,rear,2,damaged_tire,0.212,0,12.82,10100
Nissan,Economy,Sedan,side,3,dent,0.229,0,6.04,6300
Renault,Economy,Hatchback,front,7,glass_damage,0.141,0,2.54,6400
Tata,Economy,Hatchback,rear,15,glass_damage,0.19,0,1.5,4600
Kia,Mid,Hatchback,front,3,dent,0.08,0,6.07,8300
Toyota,Mid,SUV,rear,4,dent,0.093,0,12.26,9600
Hyundai,Economy,Hatchback,front,3,dent,0.172,1,4.09,16100
Renault,Economy,Hatchback,rear,1,lamp_broken,0.183,0,5.56,5800
Renault,Economy,Sedan,front,6,dent,0.161,0,4.53,5600
Toyota,Mid,Sedan,rear,11,scratch,0.244,0,2.8,4000
Maruti Suzuki,Economy,Hatchback,rear,5,glass_damage,0.07,0,3.34,4700
Maruti Suzuki,Economy,SUV,side,10,damaged_tire,0.148,0,3.4,5600
Volkswagen,Mid,Sedan,rear,6,scratch,0.099,0,6.75,2600
Renault,Economy,Hatchback,rear,2,glass_damage,0.273,0,4.45,6900
Nissan,Economy,Hatchback,side,0,scratch,0.229,0,5.76,2800
Maruti Suzuki,Economy,Hatchback,rear,3,scratch,0.2,0,4.52,2200
Toyota,Mid,Sedan,rear,4,glass_damage,0.077,0,8.12,10300
Tata,Economy,Hatchback,front,9,scratch,0.205,0,1.93,2600
Maruti Suzuki,Economy,Sedan,front,2,lamp_broken,0.118,0,6.49,6900
Skoda,Mid,Sedan,rear,4,damaged_tire,0.09,0,8.46,5900
Tata,Economy,Hatchback,front,3,scratch,0.13,0,4.01,2000
Audi,Luxury,SUV,front,6,scratch,0.034,0,29.15,8300
Mercedes,Luxury,SUV,rear,4,scratch,0.066,0,38.77,8600
Jaguar,Luxury,Sedan,front,7,lamp_broken,0.052,0,17.7,27700
Kia,Mid,Sedan,rear,10,dent,0.166,0,3.46,8800
Kia,Mid,SUV,rear,1,lamp_broken,0.066,0,13.92,14300
Renault,Economy,Sedan,rear,9,damaged_tire,0.205,0,3.3,4200
Skoda,Mid,SUV,rear,10,lamp_broken,0.047,0,4.74,9600
Jaguar,Luxury,SUV,front,5,glass_damage,0.118,0,33.85,61200
Jaguar,Luxury,SUV,side,3,scratch,0.137,0,41.83,12600
Skoda,Mid,Sedan,front,4,damaged_tire,0.159,0,8.1,9100
Renault,Economy,Sedan,front,11,glass_damage,0.105,0,1.64,6000
Hyundai,Economy,Sedan,front,14,scratch,0.234,0,1.63,2300
Renault,Economy,Hatchback,rear,3,dent,0.212,0,4.55,5600
Renault,Economy,SUV,front,1,glass_damage,0.082,0,9.61,9300
Renault,Economy,Hatchback,rear,4,dent,0.151,0,4.18,4700
Volkswagen,Mid,SUV,front,8,scratch,0.124,0,7.2,4900
Kia,Mid,SUV,rear,14,scratch,0.171,0,3.23,3300
Maruti Suzuki,Economy,SUV,front,1,glass_damage,0.164,1,9.05,20900
Kia,Mid,SUV,front,3,glass_damage,0.015,0,12.5,12400
Renault,Economy,Sedan,side,2,dent,0.18,0,7.37,5300
Volkswagen,Mid,Sedan,side,12,dent,0.185,1,2.39,26400
Toyota,Mid,SUV,front,3,scratch,0.138,0,12.57,5200
Maruti Suzuki,Economy,Sedan,front,8,scratch,0.082,0,3.29,1900
Honda,Mid,Sedan,rear,1,scratch,0.102,0,11.52,3400
Volvo,Luxury,Sedan,front,4,damaged_tire,0.112,0,24.53,21200
Toyota,Mid,SUV,front,11,scratch,0.115,0,3.45,4100
Honda,Mid,SUV,front,7,scratch,0.101,0,7.86,4400
Tata,Economy,SUV,front,1,dent,0.191,0,10.07,9700
Audi,Luxury,Sedan,side,4,glass_damage,0.386,0,26.4,61100
MG,Mid,Hatchback,front,18,scratch,0.061,0,1.64,2400
MG,Mid,Hatchback,front,0,dent,0.056,0,7.85,7700
BMW,Luxury,SUV,front,5,glass_damage,0.154,0,31.88,65200
Nissan,Economy,Sedan,front,1,dent,0.037,0,7.14,3900
Renault,Economy,Sedan,rear,2,scratch,0.055,0,6.73,1500
Kia,Mid,Sedan,front,8,dent,0.233,0,4.93,13600
Volvo,Luxury,Sedan,rear,7,dent,0.14,0,18.3,15600
Renault,Economy,Hatchback,rear,5,dent,0.213,0,3.35,5000
Nissan,Economy,Hatchback,side,3,damaged_tire,0.117,0,4.74,3500
Hyundai,Economy,Hatchback,side,1,glass_damage,0.055,0,5.04,6000
Jaguar,Luxury,SUV,front,13,dent,0.044,0,10.63,17400
MG,Mid,SUV,front,5,lamp_broken,0.022,0,10.64,12000
Honda,Mid,SUV,front,6,scratch,0.137,0,8.55,4800
Maruti Suzuki,Economy,SUV,side,3,scratch,0.146,0,8.13,3000
Renault,Economy,Hatchback,front,6,scratch,0.079,0,3.35,1900
Honda,Mid,SUV,rear,5,dent,0.105,0,10.54,10100
Volvo,Luxury,Sedan,front,6,glass_damage,0.227,0,21.07,51500
Kia,Mid,Sedan,rear,6,dent,0.069,0,6.54,5600
Renault,Economy,Hatchback,front,11,scratch,0.041,0,1.5,1200
Renault,Economy,SUV,front,9,dent,0.297,1,3.47,19000
Volkswagen,Mid,Sedan,rear,1,lamp_broken,0.139,0,11.79,14600
MG,Mid,SUV,front,11,scratch,0.086,0,3.63,3000
Toyota,Mid,SUV,side,2,glass_damage,0.226,0,14.75,19500
Audi,Luxury,SUV,rear,6,scratch,0.171,0,28.92,11800
Toyota,Mid,SUV,front,2,lamp_broken,0.056,0,13.77,16400
Volkswagen,Mid,SUV,side,7,lamp_broken,0.075,0,8.71,11900
Renault,Economy,Hatchback,side,1,scratch,0.042,0,5.46,1300
Kia,Mid,Sedan,rear,7,glass_damage,0.173,0,6.2,10400
Renault,Economy,Sedan,side,2,dent,0.176,0,6.58,6300
Honda,Mid,Hatchback,side,2,scratch,0.091,0,6.83,3400
MG,Mid,SUV,front,3,scratch,0.084,0,12.3,4200
